Year,Dist Name,RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha),WHEAT AREA (1000 ha),WHEAT PRODUCTION (1000 tons),WHEAT YIELD (Kg per ha),KHARIF SORGHUM AREA (1000 ha),KHARIF SORGHUM PRODUCTION (1000 tons),KHARIF SORGHUM YIELD (Kg per ha),SORGHUM AREA (1000 ha),SORGHUM PRODUCTION (1000 tons),SORGHUM YIELD (Kg per ha),PEARL MILLET AREA (1000 ha),PEARL MILLET PRODUCTION (1000 tons),PEARL MILLET YIELD (Kg per ha),MAIZE AREA (1000 ha),MAIZE PRODUCTION (1000 tons),MAIZE YIELD (Kg per ha),BARLEY AREA (1000 ha),BARLEY PRODUCTION (1000 tons),BARLEY YIELD (Kg per ha),CHICKPEA AREA (1000 ha),CHICKPEA PRODUCTION (1000 tons),CHICKPEA YIELD (Kg per ha),PIGEONPEA AREA (1000 ha),PIGEONPEA PRODUCTION (1000 tons),PIGEONPEA YIELD (Kg per ha),MINOR PULSES AREA (1000 ha),MINOR PULSES PRODUCTION (1000 tons),MINOR PULSES YIELD (Kg per ha),GROUNDNUT AREA (1000 ha),GROUNDNUT PRODUCTION (1000 tons),GROUNDNUT YIELD (Kg per ha),SESAMUM AREA (1000 ha),SESAMUM PRODUCTION (1000 tons),SESAMUM YIELD (Kg per ha),RAPESEED AND MUSTARD AREA (1000 ha),RAPESEED AND MUSTARD PRODUCTION (1000 tons),RAPESEED AND MUSTARD YIELD (Kg per ha),OILSEEDS AREA (1000 ha),OILSEEDS PRODUCTION (1000 tons),OILSEEDS YIELD (Kg per ha),SUGARCANE AREA (1000 ha),SUGARCANE PRODUCTION (1000 tons),SUGARCANE YIELD (Kg per ha),COTTON AREA (1000 ha),COTTON PRODUCTION (1000 tons),COTTON YIELD (Kg per ha),FRUITS AREA (1000 ha),VEGETABLES AREA (1000 ha),FRUITS AND VEGETABLES AREA (1000 ha),POTATOES AREA (1000 ha),ONION AREA (1000 ha),FODDER AREA (1000 ha)
1966,Hissar,12.3,19,1544.72,135.7,188,1385.41,55.2,10,181.16,55.2,10,181.16,367.2,133,362.2,4,4,1000,21,23,1095.24,432,223,516.2,0,0,0,18.73,-1,-1,0.1,0.1,1000,0.5,0.2,400,89,45,505.62,89.54,-1,-1,17,70,4117.65,126,40.9,324.6,2.89,3.05,5.95,0.17,0.51,196.93
1967,Hissar,14,21,1500,160.3,274,1709.3,39.4,8,203.05,39.4,8,203.05,327.3,195,595.78,5,5,1000,59,42,711.86,457,463,1013.13,0.1,0.2,2000,41.31,-1,-1,0.3,0.4,1333.33,0.3,0.1,333.33,134,59,440.3,134.84,-1,-1,12,58,4833.33,172,53.3,309.88,3.17,2.58,5.75,0.13,0.31,208.13
1968,Hissar,13,21,1615.38,163,238,1460.12,39.3,7,178.12,39.3,7,178.12,349.9,86,245.78,5,7,1400,24,15,625,213,122,572.77,0.1,0.4,4000,7.72,-1,-1,0.2,0.2,1000,0.3,0.1,333.33,13,6,461.54,14.05,-1,-1,20,115,5750,162,52.2,322.22,2.77,3.35,6.12,0.24,0.37,173.47
1969,Hissar,16.2,30,1851.85,197,389,1974.62,32.3,7,216.72,32.3,7,216.72,378.2,228,602.86,5.4,5,925.93,23.4,24,1025.64,437.7,427,975.55,0.1,0.5,5000,28.07,11.5,409.69,0.3,0.4,1333.33,0.3,0.1,333.33,51,33,647.06,51.37,33.6,654.08,22.6,130,5752.21,149,52.6,353.02,2.7,3.28,5.99,0.18,0.36,221.32
1970,Hissar,19.7,32,1624.37,212.4,418,1967.98,29.6,8,270.27,29.6,8,270.27,316.7,340,1073.57,3.6,5,1388.89,11,8,727.27,462.9,331,715.06,0,0,0,25.53,-1,-1,0.2,0.4,2000,0.2,0.1,500,50.3,33,656.06,50.8,-1,-1,18.1,87,4806.63,151.9,54.4,358.13,2.74,3.21,5.95,0.28,0.32,210.83
1971,Hissar,19.2,23,1197.92,212.7,326,1532.68,25.6,7,273.44,25.6,7,273.44,329.9,236,715.37,3.2,5,1562.5,8,7,875,483,259,536.23,0.1,0.1,1000,20.02,-1,-1,0.2,0.4,2000,0.5,0.2,400,65.3,38,581.93,66.06,-1,-1,10.6,51,4811.32,197,69.3,351.78,2.89,3.47,6.36,0.2,0.36,193.5
1972,Hissar,18.7,32,1711.23,249,414.1,1663.05,19,3,157.89,19,3,157.89,367.7,137,372.59,3.5,3,857.14,24.7,11.7,473.68,466.8,189,404.88,0.1,0.1,1000,10.07,13.6,1350.55,0.3,0.5,1666.67,0.3,0.2,666.67,105.6,34.5,326.7,106.38,39.4,370.37,11.8,47.8,4050.85,213.8,70,327.41,2.92,4.02,6.93,0.25,0.31,207.67
1973,Hissar,17.7,32,1807.91,226.5,327.1,1444.15,20.5,5.4,263.41,20.5,5.4,263.41,389,232.9,598.71,3.8,5,1315.79,24.3,15.7,646.09,455.9,175.6,385.17,0.2,0.1,500,15.33,-1,-1,0,0,0,3.3,1.3,393.94,73.4,22.4,305.18,73.9,-1,-1,13.6,56.8,4176.47,208.4,71.2,341.65,2.99,4.34,7.33,0.37,0.42,199.58
1974,Hissar,20.7,24,1159.42,189.2,313.7,1658.03,16.5,3.7,224.24,16.5,3.7,224.24,377.8,56.7,150.08,2.8,2.7,964.29,40.7,33.7,828.01,274.6,115.5,420.61,0.2,0,0,15.26,-1,-1,0.1,0,0,0.4,0.2,500,55,33.1,601.82,55.53,-1,-1,12.6,54.7,4341.27,205,71.6,349.27,2.74,4.1,6.85,0.37,0.44,206.28
1975,Hissar,20.7,46,2222.22,227.6,475,2086.99,15.3,4.4,287.58,15.3,4.4,287.58,424.1,273.3,644.42,3.2,4,1250,18,21.7,1205.56,511.1,331.4,648.41,0.5,0,0,21.52,-1,-1,0,0,0,0.4,0.3,750,56.1,29.8,531.19,56.62,-1,-1,12.6,50.2,3984.13,203.7,72.1,353.95,2.62,4.4,5.51,0.39,0.42,239.81
1976,Hissar,27.5,73,2654.55,255.7,506.7,1981.62,12,4.4,366.67,12,4.4,366.67,385.3,246.7,640.28,3.2,2,625,11.4,10.4,912.28,487.6,350.7,719.24,0.4,0.1,250,21.18,10.8,509.92,0.2,0,0,0.3,0.3,1000,41.3,28.8,697.34,42.04,29.4,699.33,15.3,82.6,5398.69,202.6,75.7,373.64,2.78,4.3,5.71,0.37,0.2,212.7
1977,Hissar,30,80,2666.67,257.5,551.8,2142.91,9,2,222.22,9,2,222.22,353.2,149.5,423.27,2.4,2,833.33,8.4,8.4,1000,593.2,473.5,798.21,0.2,0,0,7.64,5.3,693.72,0,0,0,0.5,0.4,800,90.9,48,528.05,91.77,-1,-1,18,83.5,4638.89,224.1,75,334.67,2.87,4.72,7.58,0.56,0.31,203.38
1978,Hissar,38,109,2868.42,290.4,724.9,2496.21,6.7,1,149.25,6.7,1,149.25,339.1,150.1,442.64,2,3,1500,6.6,9.2,1393.94,567.5,563.1,992.25,0.4,0,0,6.2,5.4,870.97,0.7,0.5,714.29,0.4,0.3,750,57.2,36.4,636.36,58.46,-1,-1,17,54,3176.47,247.6,99.3,401.05,2.93,5.53,8.45,1.09,0.16,233.46
1979,Hissar,40,82,2050,272.7,649.7,2382.47,6.8,1.7,250,6.8,1.7,250,286.3,79.4,277.33,2,1,500,8.9,8.9,1000,313.9,186.3,593.5,0,0,0,2.84,-1,-1,0.3,0.5,1666.67,0.2,0.2,1000,67.8,31.4,463.13,69.22,-1,-1,10.6,19,1792.45,266.7,88.4,331.46,2.91,5.45,8.37,0.78,0.39,198.28
1980,Hissar,38,114,3000,282.5,717.3,2539.12,7.6,2.4,315.79,7.6,2.4,315.79,319.1,131.4,411.78,2,2,1000,23.1,22.5,974.03,436.7,273.3,625.83,0,0,0,6.1,0,-1,0.4,0.6,1500,0.3,0.2,666.67,71.5,48.3,675.52,187.86,94.7,504.1,7,13,1857.14,266.3,101.9,382.65,2.56,5.66,8.23,0.33,0.22,266.68
1981,Hissar,41,126,3073.17,319,789.2,2473.98,6.3,0.7,111.11,6.3,0.7,111.11,308.5,148.8,482.33,3,2,666.67,18.3,20,1092.9,665.2,200.2,300.96,0,0,0,10.28,-1,-1,0.5,0.7,1400,0.5,0.2,400,71.5,48.3,675.52,89.39,55.6,621.99,9.8,30.4,3102.04,271.1,99.7,367.76,3.36,5.02,8.38,0.53,0.09,295.14
1982,Hissar,42,131,3119.05,373.7,995.7,2664.44,6.6,0.7,106.06,6.6,0.7,106.06,286,209,730.77,2,2,1000,15.1,17.1,1132.45,326.3,198,606.8,0.9,0.2,222.22,5.93,-1,-1,0.6,0.6,1000,0.1,0.1,1000,71.5,48.3,675.52,65.93,-1,-1,9.1,21.3,2340.66,328.3,123,374.66,2.54,5.03,7.57,0.24,0.14,276.38
1983,Hissar,50,149,2980,406.4,1017.9,2504.68,7.8,1.7,217.95,7.8,1.7,217.95,287.2,214.6,747.21,2,1,500,14.1,14.1,1000,383.3,166.2,433.6,1.3,0.5,384.62,7.96,-1,-1,1.4,1.4,1000,0.2,0.2,1000,77.1,62.4,809.34,81.04,-1,-1,6.4,25.7,4015.63,336.2,83.9,249.55,3.72,6.12,9.82,0.25,0.16,267.88
1984,Hissar,58.7,161.4,2749.57,375.2,983.8,2622.07,6.6,1.7,257.58,6.6,1.7,257.58,275.5,191,693.28,3,3,1000,8.6,8.6,1000,369.1,165.6,448.66,3.3,1.1,333.33,8.9,-1,-1,2.4,2.3,958.33,0.6,0.3,500,136.8,131.6,961.99,145.37,-1,-1,4.7,14.8,3148.94,245.9,91.9,373.73,4.61,6.91,11.53,0.37,0.28,264.17
1985,Hissar,54.7,173.1,3164.53,374.9,1222.8,3261.67,5.6,0.7,125,5.6,0.7,125,255.3,131.8,516.26,2,2,1000,11.1,17.6,1585.59,409.6,331.5,809.33,1.3,1,769.23,9.44,7.53,797.78,2.2,2,909.09,0.8,0.4,500,144.7,116.5,805.11,171.45,123.6,720.92,4.7,16.8,3574.47,292.9,113.4,387.16,6.01,5.96,11.96,0.3,0.28,253.13
1986,Hissar,57,179,3140.35,412.9,1330.5,3222.33,5.3,0.7,132.08,5.3,0.7,132.08,296.1,146.5,494.77,1,1,1000,11.1,15.8,1423.42,359.3,274.7,764.54,1,0.7,700,8.03,-1,-1,2.5,0.7,280,0.7,0.2,285.71,104.8,86.5,825.38,115.49,-1,-1,5.7,23.6,4140.35,331.3,139.5,421.07,7.31,8.1,15.4,0.3,0.18,243.53
1987,Hissar,48,114,2375,392.3,1098,2798.88,9.3,0,0,9.3,0,0,172.7,29.2,169.08,1,1,1000,19.6,30.7,1566.33,129.9,41.2,317.17,3.2,1.8,562.5,4.26,-1,-1,1.9,1.5,789.47,0.2,0.1,500,113.9,112.5,987.71,117.84,-1,-1,7.4,13.7,1851.35,361.2,106.5,294.85,7.82,7.36,15.16,0.44,0.59,177.85
1988,Hissar,48,117,2437.5,438.9,1589.4,3621.33,4.8,0.7,145.83,4.8,0.7,145.83,277,319.7,1154.15,1,1,1000,20.6,41.9,2033.98,379.9,374.3,985.26,2.3,1.7,739.13,9.9,4.63,467.68,0.7,0.6,857.14,0.5,0.2,400,151.8,101.6,669.3,152.89,196.01,1282.03,4.7,18.8,4000,363.5,127,349.38,8.08,7.87,15.94,0.57,0.31,305.76
1989,Hissar,53,185,3490.57,446.2,1537.1,3444.87,2.4,0.7,291.67,2.4,0.7,291.67,224.6,151,672.31,1,1,1000,15.8,29.7,1879.75,340.2,239.8,704.88,3.6,2.5,694.44,9.68,4.49,463.84,0.5,0.4,800,0.4,0.2,500,161.9,154.9,956.76,163.56,154.82,946.56,3.7,21,5675.68,397.6,180.3,453.47,8.7,7.26,15.96,0.54,0.28,-1
1990,Hissar,63.4,214,3375.39,464.2,1729.87,3726.54,2.05,1.71,834.55,2.05,1.71,834.55,213.65,177.23,829.52,0.87,1,1148.11,14.47,30.26,2090.93,410.9,294.74,717.3,4.61,2.89,626.98,9.67,5.48,566.55,0.3,0.2,666.67,1.06,0.44,418.96,167.81,219.93,1310.62,170.56,220.57,1293.21,5.08,22.13,4355.44,413.96,177.21,428.1,8.32,7.2,15.52,0.87,0.17,0
1991,Hissar,63.3,228,3601.9,467.81,1800.13,3847.99,3.67,0.71,193.51,3.67,0.71,193.51,202.34,113.38,560.36,0.67,1,1490.31,18.55,37.97,2046.9,220.02,145.02,659.12,5.27,3.12,591.91,5.79,3.1,534.8,0.4,0.3,750,0.37,0.17,460.92,236.19,245.68,1040.2,256.87,273.06,1063.05,6.45,36.55,5664.91,436.79,206.14,471.94,8.43,6.86,15.29,0.67,0.25,0
1992,Hissar,64.3,213,3312.6,520.24,2061.04,3961.69,3.88,1.42,365.51,3.88,1.42,365.51,234.69,275.44,1173.62,0.67,2,2980.63,21.2,53.39,2518.63,277.1,185.9,670.88,3.77,2.77,735.68,4.93,2.84,576.94,0.4,0.3,750,0.44,0.27,613.12,208.74,198.45,950.72,211.88,201.72,952.06,4.8,24.13,5030.23,453.63,213.16,469.9,8.55,6.69,15.24,0.66,0.15,0
1993,Hissar,77.04,270,3504.58,541.03,2084.11,3852.12,3.84,1.71,444.96,3.84,1.71,444.96,184.55,112.08,607.32,1.2,1,833.33,16.66,49.97,2999.58,285.19,286.92,1006.06,2.96,1.88,634.67,5.55,3.01,542.69,0.5,0.4,800,0.64,0.27,422.12,206.64,294.17,1423.58,208.18,295.24,1418.18,3.25,15,4608.3,471.43,166.96,354.16,7.71,7.01,14.75,0.57,0.07,0
1994,Hissar,86.24,322,3733.68,548.08,2125.21,3877.59,3.87,1.42,367.3,3.87,1.42,367.3,203.36,257.51,1266.25,0.4,0,0,24.27,65.65,2704.65,279.26,311.6,1115.81,6.24,1.39,223.4,1.6,3.13,1953.75,0.5,0.4,800,0.64,0.27,422.12,223.09,312.95,1402.79,224.38,313.72,1398.2,5.12,27.26,5321.1,469.59,205.01,436.58,6.51,6.04,12.54,0.6,0.01,0
1995,Hissar,82.07,250,3046.14,560.06,2199.73,3927.7,5.18,0,0,5.18,0,0,207.9,165.52,796.14,0.2,0,0,19.41,51.1,2632.53,272.67,278.47,1021.26,0,0,0,0,0,0,0.2,0.2,1000,0.6,0.4,666.67,222.98,277.59,1244.89,224.06,278.19,1241.61,7.01,34.1,4866.56,523.56,202.63,387.03,7.01,6.22,13.23,0.4,0.01,0
1996,Hissar,87.41,316,3615.02,584.52,2348.53,4017.84,3.54,0.71,200.74,3.54,0.71,200.74,208.14,246.48,1184.19,0.1,0,0,16.44,41.39,2517.18,239.13,185.88,777.3,0,0,0,0,0,0,0.2,0.2,1000,1.04,0.6,575.82,238.35,361.99,1518.74,239.59,362.79,1514.21,8.58,39.68,4625.79,525.87,217.53,413.66,7.36,7.31,14.66,0.55,0.03,0
1997,Hissar,106.11,357.13,3365.66,597.74,2348.91,3929.64,4.26,1.42,333.33,4.26,1.42,333.33,209.94,238.63,1136.65,0.27,0,0,24.7,70.1,2838.29,234.68,198.79,847.08,2.48,1.68,678.37,13.61,7.16,525.93,0.1,0.1,1000,0.64,0.47,733.64,243.4,173.93,714.6,244.51,174.6,714.09,6.67,34.55,5183.8,531.97,161.39,303.38,5.04,7.8,12.83,0.8,0.03,0
1998,Hissar,158.97,417.36,2625.4,639.84,2604.7,4070.86,3.55,0.71,200,3.55,0.71,200,227.13,208.72,918.95,0,0,0,19.84,57.81,2913.81,244.54,207.11,846.94,2.42,1.71,706.61,19.26,4.71,244.55,1,1,1000,1,1,1000,221.36,242.66,1096.22,223.36,244.66,1095.36,6.42,32.1,5000,493.05,126.97,257.52,4.46,10.14,14.61,1.07,0.02,154.87
1999,Hissar,163.78,418.07,2552.58,694.48,2940.15,4233.57,2.41,0.71,294.12,2.41,0.71,294.12,213.74,218.63,1022.86,0.2,0,0,18.57,59.23,3190.24,61.01,35.33,579.07,0.73,0.41,568.87,8.86,1.91,215.87,0.2,0.2,1000,1.84,1,542.89,173.75,211.88,1219.47,176.09,213.08,1210.06,7.17,39.55,5517.58,471.15,195.78,415.52,4.36,9.53,13.87,1.11,0.1,171.7
2000,Hissar,140.15,387.2,2762.73,727.24,2995.54,4119.05,1.63,0,0,1.63,0,0,213.63,201.76,944.45,0.07,0,0,22.4,59.39,2651.58,80.13,47.92,598.03,0.53,0.34,650.19,4.97,1.27,255.84,0.1,0.1,1000,1.14,0.7,612.96,158.92,208.72,1313.37,160.16,209.52,1308.18,8.58,47.55,5541.31,483.22,211.89,438.48,4.2,8.18,12.39,0.76,0.13,212.68
2001,Hissar,121.15,344.91,2846.87,698.61,2848.26,4077.02,2.06,0.71,344.83,2.06,0.71,344.83,203.88,288.53,1415.22,0.2,0,0,15.61,45.52,2915.89,93.18,80.99,869.2,2.2,0.71,324.53,12.1,2.98,246.59,0.1,0.1,1000,1.44,0.7,485.44,213.16,313.93,1472.77,214.9,314.73,1464.56,11.86,63.55,5356.09,543.14,101.97,187.74,4.45,8.63,13.08,1.25,0,245.4
2002,Hissar,138.02,401.49,2909.03,686.37,2728.75,3975.64,5.5,0.71,129.18,5.5,0.71,129.18,217.31,190.78,877.9,0.2,0,0,16.63,45.36,2727.44,31.89,23.36,732.54,9.54,6.86,719.72,14.92,2.63,176.05,1.7,1.4,823.53,5.38,3.27,607.54,278.58,307.44,1103.6,285.96,312.11,1091.44,18.56,103.65,5584.89,434.84,157.7,362.66,4.41,8.12,12.53,0.43,0.01,269.92
2003,Hissar,147.83,458.33,3100.41,701.01,2860.76,4080.89,2.63,0.71,270.27,2.63,0.71,270.27,225.98,338.53,1498.04,0.07,0,0,14.98,42.52,2838.64,78.33,61.24,781.87,10.54,1.47,139.28,21.36,3.63,169.75,0.77,0.7,907.91,1.34,0.7,521.61,275.13,425.67,1547.19,279.81,427.07,1526.29,11.05,59.36,5373.89,435.85,203.3,466.46,5.19,7.44,12.62,0.65,0.02,303.98
2004,Hissar,147.48,509.94,3457.66,717.45,2832.65,3948.2,3.34,0.71,212.58,3.34,0.71,212.58,208.52,266.48,1277.93,0.13,0,0,13.19,35.39,2683.6,77.06,65.47,849.54,0.35,0.34,976.03,22.76,6.73,295.84,0.72,0.67,930.65,1.56,0.77,492.87,298.43,333.58,1117.77,304.31,335.02,1100.91,4.65,20.55,4423.83,505.12,301.4,596.7,5.25,6.63,11.88,0.45,0.04,294.89
2005,Hissar,158.78,524.75,3304.99,717.01,2618.9,3652.55,2.27,0.71,312.5,2.27,0.71,312.5,236.08,246.63,1044.71,0.17,0,0,16.68,43.52,2609.27,91.6,49.53,540.74,0.61,0.88,1441.93,16.67,6.38,382.77,2.08,1.84,883.71,1.84,0.8,434.31,292.76,317.5,1084.5,302.35,320.14,1058.84,4.41,24.52,5563.88,477.85,217.01,454.14,5.4,6.55,11.95,0.58,0,285.25
2006,Hissar,161.56,603.46,3735.3,747.37,3331.17,4457.18,2.12,0.71,335.38,2.12,0.71,335.38,211.44,358.08,1693.55,0,0,0,23.09,70.78,3065.53,74.83,60.76,811.98,0.05,0.07,1400,20.62,8.72,422.73,0.7,0.7,1000,1.63,0.74,456.33,252.01,340.26,1350.17,259.91,344.07,1323.82,5.28,32.38,6135.66,445.51,269.81,605.63,6.3,7.52,13.82,0.6,0,314.79
2007,Hissar,169.51,634.4,3742.6,803.1,3323.49,4138.32,2.94,1.42,482.99,2.94,1.42,482.99,204.96,374.73,1828.31,0.07,0,0,27.33,87.46,3200.26,72.54,36.72,506.23,0.86,1.18,1377.9,19.38,7.64,393.94,0.57,0.4,700.53,0.94,0.47,500,192.45,215.53,1119.9,196.04,218.27,1113.42,5.55,33.52,6040.73,412.18,280.38,680.23,7.09,8.34,15.42,0.8,0.02,363.88
2008,Hissar,198.85,698.95,3514.93,795.32,3847.58,4837.76,4.26,2.13,500,4.26,2.13,500,199.37,342.82,1719.55,0,0,0,34.99,127.4,3641.25,85.73,87.64,1022.3,2.05,2.02,985.97,15.53,6.45,415.15,1.17,1.07,914.6,1.26,0.54,431.87,201.06,327.34,1628.09,205.28,331.05,1612.66,2.95,16.63,5633.81,389.96,280.93,720.42,7.61,6.83,14.44,0.24,0,361.32
2009,Hissar,199.49,620.24,3109.13,801.39,3293.31,4109.52,4.83,2.84,588.24,4.83,2.84,588.24,178.69,247.51,1385.13,0.07,0,0,27.6,90.85,3292.02,60.55,44.82,740.2,0.96,0.92,958.46,15.53,6.42,413.61,1.5,1.4,933.33,0.96,0.54,567.54,202.51,345.94,1708.3,205.86,348.98,1695.23,1.64,11.39,6951.19,434.99,291.46,670.05,8.3,6.2,14.48,0.34,0,233.31
2010,Hissar,208.82,687.24,3291.02,811.29,3968.1,4891.1,0,0,0,0,0,0,212.2,396.46,1868.33,0.17,0,0,23.83,86.72,3639.26,77.71,75.86,976.21,0,0,0,0,0,0,2,2.1,1050,1.07,0.81,761.24,220.91,413.98,1873.98,225.78,417.59,1849.58,2.08,13.39,6434.41,422.08,258.08,611.46,8.97,7.33,16.3,0.4,0.01,223.57
2011,Hissar,205.52,671.66,3268.02,832.89,4305.5,5169.33,0.2,0,0,0.2,0,0,175.04,330.58,1888.61,0.1,0,0,23.79,84.53,3553.47,55.3,50.82,919,0,0,0,0,0,0,1.6,1.6,1000,0.51,0.27,528.27,223.96,322.84,1441.52,228.94,325.91,1423.55,3.08,18.36,5970.73,497.92,376.61,756.37,8.21,6.42,14.62,0.5,0.52,155.45
2012,Hissar,207.57,730.4,3518.88,828.41,3756.47,4534.54,0,0,0,0,0,0,96.41,157.33,1631.96,0.08,0,0,25.67,89.69,3494.08,29.86,32.59,1091.36,0.6,0.74,1224.01,8.14,45.19,5550.84,2.41,2.85,1179.31,0.22,0.12,541.76,232.61,381.02,1638.05,236.45,389.93,1649.15,3.01,15.09,5018.29,474.34,331.33,698.51,10.2,6.32,16.51,0.46,0.4,296.15
2013,Hissar,217.36,773.85,3560.22,818.57,4042.26,4938.2,1.42,0.71,500,1.42,0.71,500,86.77,146.69,1690.56,0,0,0,20.1,77.69,3865.17,53.24,44.98,844.85,0.57,0.71,1250,7.41,3.44,464.29,5.37,6.47,1204.8,0.27,0.07,261.99,234.05,375.85,1605.85,239.83,383.09,1597.32,2.42,19.52,8066.53,440.6,277.5,629.82,11.17,7.15,18.3,0.54,0.18,375.92
2014,Hissar,243.91,822.3,3371.33,879.49,3913.53,4449.77,1.42,0.71,500,1.42,0.71,500,82.93,119.23,1437.72,0,0,0,19.81,69.85,3526,45.4,29.75,655.29,0,0,0,6.99,3.29,471.18,1,2,2000,0,0,0,213.72,310.35,1452.13,218.13,320.96,1471.4,2.42,17.79,7352.07,492.87,257.88,523.21,12.04,7.59,19.62,0.76,0.65,303.25
2015,Hissar,282.25,930.63,3297.18,843.91,3870.94,4586.91,1.42,0.71,500,1.42,0.71,500,63.52,91.28,1437.03,0.1,0,0,16.58,58.59,3533.78,32.61,20.81,638.15,0,0,0,9.72,4.85,499.33,4.27,5.17,1210.72,0.51,0.34,666.67,235.84,378.75,1605.96,240.62,384.26,1596.94,0,0,0,443.93,132.11,297.59,12.09,9.84,21.92,0.9,0.27,402.9
2016,Hissar,289.75,1031.73,3560.75,847.16,4169.38,4921.61,0,0,0,1.92,1.42,740.74,130.37,236.19,1811.72,0.3,0,0,11.02,38.78,3518.74,19.97,24.16,1209.63,0,0,0,16.31,26.13,1601.61,4.4,5.47,1243.41,0.51,0.27,528.27,234.07,399.83,1708.16,240.71,399.77,1660.78,5.1,30.75,6031.78,422.2,289.11,684.77,0,0,0,1.21,0,0
2017,Hissar,305.38,1077.83,3529.46,829.58,4131.43,4980.16,0,0,0,1.42,0.71,500,110.51,144.55,1308.03,0.17,0,0,10.39,35.36,3402.62,21.5,25.1,1167.22,0,0,0,14.2,24.69,1739.42,3.2,3.6,1125,0.34,0.17,500,252.79,503.33,1991.12,257.03,520.3,2024.28,0,0,0,482.57,202.1,418.8,0,0,0,0,0,0
1966,Gurgaon,0.2,0.2,1000,99.4,151,1519.11,50.2,8,159.36,50.2,8,159.36,139.8,65,464.95,4,4,1000,70,118,1685.71,109,46,422.02,0.6,0.4,666.67,14.7,-1,-1,0,0.3,0,0.2,0.1,500,42,10,238.1,41.84,-1,-1,11,26,2363.64,1.5,0.3,200,0.2,3.41,3.61,0.16,0.34,48.41
1967,Gurgaon,1,1,1000,127,213,1677.17,67.9,8,117.82,67.9,8,117.82,165.3,74,447.67,6,2,333.33,101,116,1148.51,134,167,1246.27,1.2,0.8,666.67,19,-1,-1,0.1,0.1,1000,0.2,0.1,500,40,9,225,40.89,-1,-1,7,24,3428.57,2,0.4,200,0.26,2.72,2.98,0.23,0.08,44.57
1968,Gurgaon,1,1,1000,126,218,1730.16,34.4,3,87.21,34.4,3,87.21,130.9,43,328.5,4,3,750,64,92,1437.5,66,53,803.03,0.9,0.6,666.67,15.14,-1,-1,0.1,0.1,1000,0.2,0.1,500,20,11,550,19.71,-1,-1,12,35,2916.67,1.6,0.3,187.5,0.95,3.11,4.06,0.4,0.11,49.1
1969,Gurgaon,2.4,3,1250,139,286,2057.55,47.7,10,209.64,47.7,10,209.64,141.4,78,551.63,5.4,4,740.74,61.3,86,1402.94,126.6,126,995.26,1.1,0.7,636.36,16.47,4.3,261.08,0.1,0.1,1000,0.1,0,0,28,19,678.57,26.68,18.9,708.4,15.3,59,3856.21,2,0.4,200,0.26,2.83,3.09,0.37,0.11,55.48
1970,Gurgaon,1.9,3,1578.95,155.5,242,1556.27,37.4,8,213.9,37.4,8,213.9,146.1,146,999.32,4.2,4,952.38,52,74,1423.08,115.3,78,676.5,2.6,1.3,500,12.82,-1,-1,0.1,0,0,0.3,0,0,28.6,21,734.27,29.04,-1,-1,15.1,49,3245.03,1.9,0.4,210.53,0.17,3.14,3.31,0.25,0.11,57.46
1971,Gurgaon,2.3,4,1739.13,169.9,279,1642.14,42,6,142.86,42,6,142.86,138,89,644.93,6,7,1166.67,45,63,1400,125.1,68,543.57,2.4,2.3,958.33,17.12,-1,-1,0.4,0.3,750,0.9,0.2,222.22,38.1,21,551.18,39.4,-1,-1,9.2,28,3043.48,1.4,0.4,285.71,0.73,2.75,3.48,0.42,0.13,49.18
1972,Gurgaon,2.4,3,1250,162.3,288,1774.49,30.7,9,293.16,30.7,9,293.16,88.4,87,984.16,5.5,4,727.27,37.3,41.3,1107.24,76.3,27,353.87,3.6,3.7,1027.78,11.54,23,1993.07,0.3,0.2,666.67,0.7,0.1,142.86,25.4,14,551.18,26.27,16.3,620.48,12,37,3083.33,1.6,0.7,437.5,0.26,3.59,3.85,0.47,0.04,46.78
1973,Gurgaon,2.8,5,1785.71,148.3,186,1254.21,35.1,7,199.43,35.1,7,199.43,93.8,78,831.56,5.3,3,566.04,56.7,47.3,834.22,61,27,442.62,1.9,0.9,473.68,9.87,-1,-1,0.1,0.1,1000,0.8,0.2,250,22.3,7,313.9,23.26,-1,-1,14,42,3000,1.4,0.7,500,0.54,2.77,3.3,0.46,0.47,45.49
1974,Gurgaon,2.2,3,1363.64,138.1,233,1687.18,35.6,13,365.17,35.6,13,365.17,93.3,36,385.85,5.3,3,566.04,67.3,76.3,1133.73,42.1,23,546.32,2,1.2,600,10.02,-1,-1,0.9,0.9,1000,1,0.2,200,33.5,25,746.27,35.34,-1,-1,14,42,3000,1,0.4,400,0.38,2.91,3.29,0.59,0.03,39.99
1975,Gurgaon,2.9,6,2068.97,158.2,272,1719.34,35,9,257.14,35,9,257.14,101.4,46,453.65,6,5,833.33,59,79.3,1344.07,62.3,191,3065.81,2.7,1.5,555.56,11.6,-1,-1,0.6,0.6,1000,1.2,0.5,416.67,17.7,9,508.47,19.42,-1,-1,11,35,3181.82,0.9,0.4,444.44,0.46,3.37,3.83,0.34,0.07,44.42
